Probe,logFC,p.val,adj.p.val
1624372_at,1.26E-01,8.11E-06,1.29E-03
1637410_s_at,2.69E-01,8.44E-06,1.33E-03
1641143_s_at,-1.34E-01,8.75E-06,1.37E-03
1626334_at,1.85E-01,8.99E-06,1.40E-03
1626503_at,4.67E-01,9.19E-06,1.42E-03
1625981_at,1.95E-01,9.51E-06,1.45E-03
1632114_at,-1.79E-01,9.58E-06,1.45E-03
1628717_a_at,-1.54E-01,9.97E-06,1.49E-03
1629854_at,1.05E-01,1.00E-05,1.49E-03
1638104_a_at,-8.04E-02,1.01E-05,1.49E-03
1633836_a_at,1.51E-01,1.04E-05,1.52E-03
1634107_at,-8.95E-02,1.04E-05,1.52E-03
1633065_at,-1.08E-01,1.05E-05,1.52E-03
1631891_at,-1.34E-01,1.06E-05,1.52E-03
1639667_at,2.71E-01,1.07E-05,1.52E-03
1631496_at,1.64E-01,1.15E-05,1.63E-03
1638861_at,1.70E-01,1.16E-05,1.63E-03
1628139_at,-1.67E-01,1.18E-05,1.63E-03
1624709_at,-1.45E-01,1.18E-05,1.63E-03
1633503_at,1.90E-01,1.19E-05,1.63E-03
1624386_at,-8.14E-02,1.20E-05,1.63E-03
1633716_at,1.10E-01,1.20E-05,1.63E-03
1625035_at,2.08E-01,1.23E-05,1.66E-03
1631387_at,-2.11E-01,1.32E-05,1.76E-03
1637905_s_at,3.36E-01,1.35E-05,1.79E-03
1635165_a_at,-2.05E-01,1.36E-05,1.79E-03
1633675_at,1.50E-01,1.37E-05,1.79E-03
1627054_at,1.01E-01,1.40E-05,1.81E-03
1637775_at,-1.42E-01,1.43E-05,1.84E-03
1634138_at,1.40E-01,1.44E-05,1.84E-03
1626708_at,-2.13E-01,1.45E-05,1.84E-03
1633710_at,1.98E-01,1.48E-05,1.86E-03
1636524_at,-4.53E-01,1.48E-05,1.86E-03
1626789_at,-2.44E-01,1.51E-05,1.88E-03
1630011_at,1.01E-01,1.52E-05,1.88E-03
1632141_at,2.18E-01,1.62E-05,1.97E-03
1628616_at,-1.09E-01,1.62E-05,1.97E-03
1635868_at,-3.62E-01,1.62E-05,1.97E-03
1626165_at,-1.14E-01,1.65E-05,1.99E-03
1636551_at,-1.01E-01,1.67E-05,2.00E-03
1626368_at,1.46E-01,1.68E-05,2.00E-03
1628190_at,-1.63E-01,1.72E-05,2.04E-03
1627973_s_at,-1.10E-01,1.78E-05,2.10E-03
1640511_at,-1.29E-01,1.82E-05,2.13E-03
1623027_s_at,-3.96E-01,1.84E-05,2.14E-03
1638324_s_at,9.53E-02,1.96E-05,2.25E-03
1623050_at,-1.66E-01,1.96E-05,2.25E-03
1638786_at,-1.54E-01,1.97E-05,2.25E-03
1623134_at,1.71E-01,1.99E-05,2.26E-03
1641156_at,1.88E-01,2.07E-05,2.34E-03
1627144_at,-2.83E-01,2.14E-05,2.38E-03
1636550_at,1.52E-01,2.14E-05,2.38E-03
1625394_at,-9.46E-02,2.15E-05,2.38E-03
