Probe,logFC,p.val,adj.p.val
1628121_at,1.14E-01,7.08E-06,1.13E-03
1641398_s_at,-2.81E-01,7.08E-06,1.13E-03
1622896_at,-1.86E-01,7.49E-06,1.18E-03
1638000_at,-7.92E-01,7.60E-06,1.18E-03
1636551_at,9.08E-02,7.63E-06,1.18E-03
1637671_a_at,-4.65E-02,7.66E-06,1.18E-03
1631441_s_at,-1.27E-01,7.71E-06,1.18E-03
1626045_at,1.19E-01,7.81E-06,1.18E-03
1631250_at,-1.16E-01,7.96E-06,1.20E-03
1636646_at,-2.56E-01,8.85E-06,1.32E-03
1635674_at,-1.69E-01,8.98E-06,1.33E-03
1638400_at,-1.42E-01,9.97E-06,1.47E-03
1634944_at,1.34E-01,1.09E-05,1.58E-03
1632087_at,1.87E-01,1.12E-05,1.63E-03
1637009_at,-1.20E-01,1.20E-05,1.73E-03
1628334_at,-2.80E-01,1.25E-05,1.78E-03
1627088_at,6.10E-01,1.26E-05,1.79E-03
1637246_a_at,-1.53E-01,1.28E-05,1.80E-03
1635450_a_at,-2.28E-01,1.32E-05,1.84E-03
1633411_s_at,-4.10E-01,1.36E-05,1.88E-03
1633957_s_at,1.16E-01,1.43E-05,1.96E-03
1641623_at,-1.22E-01,1.46E-05,1.99E-03
1631026_at,9.62E-02,1.47E-05,1.99E-03
1624497_at,-1.50E-01,1.61E-05,2.16E-03
1639564_a_at,1.34E-01,1.69E-05,2.25E-03
1634370_a_at,-2.35E-01,1.70E-05,2.25E-03
1634413_at,-2.19E-01,1.72E-05,2.26E-03
1624727_s_at,-1.57E-01,1.79E-05,2.33E-03
1629118_at,-4.08E-01,1.86E-05,2.41E-03
1623428_at,-1.69E-01,1.89E-05,2.42E-03
1640477_at,-1.56E-01,1.89E-05,2.42E-03
1635921_at,-1.51E-01,1.93E-05,2.45E-03
1625794_at,-1.16E-01,1.99E-05,2.51E-03
1626782_at,-7.67E-02,2.13E-05,2.68E-03
1631435_at,-8.75E-02,2.17E-05,2.70E-03
1637830_s_at,-1.11E-01,2.33E-05,2.89E-03
1632735_at,-1.64E-01,2.70E-05,3.28E-03
1627350_at,-2.10E-01,2.72E-05,3.28E-03
1639235_at,-1.80E-01,2.73E-05,3.28E-03
1631065_at,-1.27E-01,2.73E-05,3.28E-03
1639374_s_at,2.41E-01,2.74E-05,3.28E-03
1627704_a_at,-1.45E-01,2.85E-05,3.39E-03
1624156_at,1.21E-01,2.93E-05,3.47E-03
1640360_at,-2.06E-01,2.98E-05,3.50E-03
1626417_at,-2.18E-01,3.00E-05,3.50E-03
1631165_at,-2.20E-01,3.01E-05,3.50E-03
1637859_at,-3.77E-01,3.12E-05,3.60E-03
1639118_a_at,1.20E-01,3.20E-05,3.66E-03
1628621_at,-6.32E-02,3.21E-05,3.66E-03
1625551_at,1.41E-01,3.24E-05,3.68E-03
1627507_at,-1.31E-01,3.29E-05,3.72E-03
1637819_at,-1.60E-01,3.38E-05,3.79E-03
1631175_a_at,-1.07E-01,3.43E-05,3.82E-03
1637536_at,1.62E-01,3.47E-05,3.85E-03
1641639_at,-2.27E-01,3.56E-05,3.92E-03
1637490_at,9.52E-02,3.67E-05,4.02E-03
1625745_at,-1.18E-01,3.88E-05,4.23E-03
1638393_at,-1.41E-01,4.02E-05,4.36E-03
1635522_a_at,-1.34E-01,4.07E-05,4.38E-03
1632400_at,2.42E-01,4.28E-05,4.58E-03
1637278_at,-1.25E-01,4.32E-05,4.60E-03
1626344_at,-7.95E-02,4.44E-05,4.70E-03
1639763_at,-9.16E-02,4.48E-05,4.72E-03
1634583_s_at,-1.16E-01,4.53E-05,4.74E-03
1635980_s_at,1.26E-01,4.57E-05,4.75E-03
1639902_at,-1.78E-01,4.78E-05,4.95E-03
1628648_at,-6.81E-02,4.87E-05,5.01E-03
1641707_at,-6.87E-02,4.90E-05,5.02E-03
1630299_at,-2.20E-01,5.10E-05,5.17E-03
1638307_s_at,9.07E-02,5.10E-05,5.17E-03
1624939_at,2.20E-01,5.19E-05,5.22E-03
1637958_at,2.21E-01,5.20E-05,5.22E-03
1640221_at,-1.06E-01,5.48E-05,5.47E-03
1631168_at,-1.49E-01,5.51E-05,5.47E-03
1622985_at,9.00E-02,5.69E-05,5.59E-03
1633192_at,1.43E-01,5.72E-05,5.59E-03
1633647_at,9.15E-02,5.73E-05,5.59E-03
1634955_at,-1.11E-01,5.76E-05,5.59E-03
1639640_at,-9.06E-02,5.99E-05,5.79E-03
1637403_at,-3.62E-01,6.22E-05,5.96E-03
1625166_at,-1.41E-01,6.23E-05,5.96E-03
1631006_a_at,9.69E-02,6.28E-05,5.96E-03
1633870_at,1.77E-01,6.29E-05,5.96E-03
1636764_at,2.15E-01,6.35E-05,5.99E-03
1635769_at,2.76E-01,6.43E-05,6.03E-03
1636736_s_at,-1.42E-01,6.53E-05,6.09E-03
1636292_at,1.84E-01,6.55E-05,6.09E-03
1625760_at,4.21E-01,6.69E-05,6.18E-03
1640755_at,3.93E-01,6.84E-05,6.29E-03
