Probe,logFC,p.val,adj.p.val
1631382_at,1.17E-01,1.83E-05,2.94E-03
1624046_at,8.11E-02,1.85E-05,2.94E-03
1639903_at,-5.32E-01,1.89E-05,2.99E-03
1630299_at,-2.14E-01,1.92E-05,3.01E-03
1640477_at,-1.48E-01,1.97E-05,3.03E-03
1627795_at,1.01E-01,1.98E-05,3.03E-03
1625875_at,-9.98E-02,1.99E-05,3.03E-03
1631026_at,7.62E-02,2.00E-05,3.03E-03
1628699_at,6.73E-01,2.11E-05,3.18E-03
1634127_a_at,-2.08E-01,2.17E-05,3.23E-03
1625044_at,1.38E-01,2.21E-05,3.25E-03
1641268_at,-2.61E-01,2.21E-05,3.25E-03
1626309_at,-2.28E-01,2.25E-05,3.26E-03
1634044_at,-3.36E-01,2.27E-05,3.26E-03
1639771_at,5.66E-02,2.27E-05,3.26E-03
1636958_s_at,-8.16E-02,2.31E-05,3.27E-03
1630266_at,-4.77E-01,2.31E-05,3.27E-03
1636643_at,-1.50E-01,2.35E-05,3.28E-03
1640595_at,-6.60E-02,2.35E-05,3.28E-03
1636794_at,9.51E-02,2.47E-05,3.41E-03
1635450_a_at,-2.28E-01,2.48E-05,3.41E-03
1635060_at,-1.48E-01,2.52E-05,3.43E-03
1633844_at,1.85E-01,2.56E-05,3.46E-03
1623848_a_at,2.71E-01,2.59E-05,3.46E-03
1628865_at,-4.42E-01,2.59E-05,3.46E-03
1634662_at,4.25E-01,2.71E-05,3.59E-03
1633081_at,8.47E-02,2.73E-05,3.59E-03
1630573_at,-8.57E-02,2.79E-05,3.65E-03
1637535_at,-1.86E-01,3.03E-05,3.94E-03
1640342_at,-3.83E-01,3.10E-05,4.00E-03
1631408_at,-2.75E-01,3.13E-05,4.00E-03
1637086_at,-1.95E-01,3.14E-05,4.00E-03
1624787_s_at,1.62E-01,3.18E-05,4.01E-03
1641533_at,9.02E-02,3.20E-05,4.02E-03
1622908_a_at,-2.68E-01,3.27E-05,4.07E-03
1635937_at,-3.30E-01,3.30E-05,4.09E-03
1635921_at,-1.63E-01,3.35E-05,4.12E-03
1641722_at,-1.72E-01,3.40E-05,4.16E-03
1625814_at,6.84E-02,3.43E-05,4.16E-03
1630543_at,-8.31E-02,3.49E-05,4.20E-03
1635061_at,-9.58E-02,3.50E-05,4.20E-03
1637819_at,-1.34E-01,3.53E-05,4.20E-03
1640208_s_at,-1.30E-01,3.58E-05,4.24E-03
1632179_at,8.49E-02,3.60E-05,4.24E-03
1635136_at,9.28E-02,3.77E-05,4.41E-03
1625193_at,1.75E-01,3.88E-05,4.50E-03
1632335_at,7.13E-02,3.90E-05,4.50E-03
1641718_at,-7.93E-02,3.92E-05,4.50E-03
1628232_at,-1.46E-01,3.96E-05,4.53E-03
1641681_s_at,-1.31E-01,4.14E-05,4.70E-03
1640129_at,-1.97E-01,4.17E-05,4.70E-03
1639427_at,-5.19E-01,4.20E-05,4.71E-03
1631674_at,-8.62E-02,4.24E-05,4.72E-03
1632358_at,-1.07E-01,4.38E-05,4.85E-03
1626503_at,-2.65E-01,4.50E-05,4.95E-03
1633957_s_at,1.20E-01,4.60E-05,5.04E-03
1629436_at,9.16E-02,4.76E-05,5.18E-03
1625794_at,-1.18E-01,4.99E-05,5.40E-03
1628628_at,-1.04E-01,5.13E-05,5.52E-03
1639894_at,-2.38E-01,5.38E-05,5.76E-03
1641074_s_at,6.34E-02,5.48E-05,5.80E-03
1635427_a_at,-8.49E-02,5.51E-05,5.80E-03
1623296_at,-2.29E-01,5.51E-05,5.80E-03
1632730_at,9.54E-02,5.56E-05,5.82E-03
1628621_at,-6.27E-02,5.66E-05,5.89E-03
1636736_s_at,-1.34E-01,5.69E-05,5.89E-03
1625755_at,-1.01E-01,5.79E-05,5.95E-03
1623109_at,1.06E-01,5.81E-05,5.95E-03
1637246_a_at,-1.61E-01,5.84E-05,5.95E-03
1637905_s_at,-1.44E-01,5.97E-05,6.03E-03
1636274_at,-3.15E-01,5.99E-05,6.03E-03
1635343_a_at,2.11E-01,6.14E-05,6.16E-03
1626027_at,-6.30E-01,6.29E-05,6.27E-03
1633425_at,2.58E-01,6.38E-05,6.33E-03
1639729_s_at,3.76E-01,6.42E-05,6.34E-03
1632625_a_at,-4.51E-01,6.48E-05,6.36E-03
1629753_at,-3.36E-01,6.55E-05,6.38E-03
1623900_a_at,-1.65E-01,6.57E-05,6.38E-03
1635374_at,8.19E-02,6.61E-05,6.39E-03
1630244_s_at,-3.31E-01,6.76E-05,6.50E-03
1631581_at,-1.82E-01,6.82E-05,6.50E-03
1629969_at,1.46E-01,6.83E-05,6.50E-03
1624984_at,-1.27E-01,6.90E-05,6.50E-03
1636879_at,-1.71E-01,6.91E-05,6.50E-03
1630274_s_at,-1.06E-01,6.93E-05,6.50E-03
1628989_at,3.12E-01,7.04E-05,6.58E-03
1635664_at,-8.04E-02,7.40E-05,6.87E-03
1623024_at,8.03E-02,7.44E-05,6.87E-03
1634658_a_at,-1.58E-01,7.47E-05,6.87E-03
1633480_at,2.18E-01,7.54E-05,6.90E-03
1626411_at,-5.26E-02,7.72E-05,7.00E-03
1622896_at,-2.01E-01,7.72E-05,7.00E-03
1628768_at,-3.12E-01,7.88E-05,7.11E-03
1624225_at,-2.63E-01,8.08E-05,7.24E-03
1641659_s_at,-6.26E-02,8.13E-05,7.24E-03
1638275_at,8.98E-02,8.15E-05,7.24E-03
1637859_at,-4.02E-01,8.18E-05,7.24E-03
1636782_at,-6.72E-01,8.47E-05,7.47E-03
1634608_at,-1.17E-01,8.76E-05,7.65E-03
1624491_a_at,-1.81E-01,8.76E-05,7.65E-03
1641375_at,-1.46E-01,8.92E-05,7.72E-03
1627104_at,-9.12E-02,8.93E-05,7.72E-03
1639211_at,-1.67E-01,8.99E-05,7.74E-03
1629385_s_at,1.02E-01,9.03E-05,7.74E-03
1641134_at,-7.23E-02,9.56E-05,8.13E-03
1641370_s_at,1.42E-01,9.57E-05,8.13E-03
1633253_s_at,5.06E-02,9.71E-05,8.21E-03
1638064_a_at,-1.41E-01,9.78E-05,8.21E-03
1633701_at,1.34E-01,9.79E-05,8.21E-03
1639235_at,-2.15E-01,9.85E-05,8.22E-03
1634023_at,-6.88E-02,1.00E-04,8.31E-03
1627632_at,6.85E-02,1.02E-04,8.41E-03
1639118_a_at,1.20E-01,1.02E-04,8.41E-03
1632087_at,1.79E-01,1.02E-04,8.41E-03
1635510_at,-1.51E-01,1.04E-04,8.47E-03
1626659_at,-8.99E-02,1.05E-04,8.55E-03
1627159_at,-8.99E-01,1.06E-04,8.58E-03
1627507_at,-1.63E-01,1.07E-04,8.61E-03
1635210_a_at,2.01E-01,1.10E-04,8.83E-03
1627704_a_at,-1.63E-01,1.10E-04,8.83E-03
1638994_at,6.83E-02,1.12E-04,8.93E-03
1634955_at,-1.02E-01,1.14E-04,9.01E-03
1639368_at,1.60E-01,1.15E-04,9.03E-03
1635686_at,9.13E-02,1.15E-04,9.03E-03
1636764_at,2.19E-01,1.15E-04,9.03E-03
1624256_at,-1.50E-01,1.16E-04,9.03E-03
1623920_at,9.62E-02,1.17E-04,9.03E-03
1629953_at,-1.13E-01,1.17E-04,9.03E-03
1630557_at,-7.92E-02,1.17E-04,9.05E-03
1625551_at,1.16E-01,1.19E-04,9.16E-03
1639183_a_at,-3.79E-01,1.20E-04,9.19E-03
1639582_at,1.16E-01,1.24E-04,9.42E-03
1636579_s_at,-8.12E-02,1.24E-04,9.42E-03
1637575_at,-1.87E-01,1.26E-04,9.49E-03
1640126_at,8.99E-02,1.27E-04,9.52E-03
1641270_at,-4.01E-01,1.27E-04,9.52E-03
1626404_a_at,8.54E-02,1.28E-04,9.52E-03
1623425_at,1.59E-01,1.28E-04,9.52E-03
1636033_at,-6.52E-02,1.29E-04,9.52E-03
1626887_at,-1.03E-01,1.32E-04,9.70E-03
1624497_at,-1.48E-01,1.32E-04,9.70E-03
1633283_at,-5.35E-02,1.36E-04,9.94E-03
1625281_at,-3.71E-01,1.37E-04,9.96E-03
1634413_at,-1.92E-01,1.38E-04,1.00E-02
1628604_at,-2.26E-01,1.39E-04,1.00E-02
1622894_at,1.88E-01,1.39E-04,1.00E-02
1635980_s_at,1.35E-01,1.40E-04,1.01E-02
1628387_s_at,-1.02E-01,1.41E-04,1.01E-02
1641189_a_at,-1.19E-01,1.49E-04,1.06E-02
1629118_at,-3.81E-01,1.51E-04,1.07E-02
1636089_at,-1.33E-01,1.53E-04,1.08E-02
1641398_s_at,-2.51E-01,1.55E-04,1.09E-02
1639819_at,1.44E-01,1.57E-04,1.10E-02
1628334_at,-2.73E-01,1.59E-04,1.11E-02
1628792_at,-2.20E-01,1.60E-04,1.11E-02
1629088_at,-5.70E-02,1.60E-04,1.11E-02
1641593_at,-1.33E-01,1.60E-04,1.11E-02
1623810_at,-1.55E-01,1.63E-04,1.12E-02
1623950_s_at,-6.00E-01,1.64E-04,1.13E-02
1634583_s_at,-1.27E-01,1.65E-04,1.13E-02
1628646_at,-1.12E-01,1.66E-04,1.13E-02
1633145_at,-1.13E-01,1.67E-04,1.14E-02
1633870_at,1.72E-01,1.69E-04,1.14E-02
1625740_at,1.22E-01,1.70E-04,1.14E-02
1626098_at,9.52E-02,1.74E-04,1.17E-02
1628706_at,-8.78E-02,1.76E-04,1.18E-02
1631614_at,-9.84E-02,1.79E-04,1.19E-02
1631429_at,6.79E-02,1.79E-04,1.19E-02
1625532_at,9.71E-02,1.80E-04,1.19E-02
1629829_at,-1.31E-01,1.81E-04,1.19E-02
1635522_a_at,-1.58E-01,1.83E-04,1.20E-02
1628648_at,-5.51E-02,1.86E-04,1.22E-02
1640844_s_at,-1.17E-01,1.89E-04,1.23E-02
1631239_s_at,-4.51E-01,1.89E-04,1.23E-02
1625981_at,-1.12E-01,1.91E-04,1.24E-02
1622921_at,6.71E-02,1.93E-04,1.25E-02
1632207_a_at,-1.12E-01,1.94E-04,1.25E-02
1641639_at,-2.07E-01,1.99E-04,1.28E-02
1623573_s_at,-5.69E-02,2.00E-04,1.28E-02
1626045_at,8.34E-02,2.00E-04,1.28E-02
1626708_at,1.18E-01,2.03E-04,1.29E-02
1624476_at,-6.84E-01,2.06E-04,1.30E-02
1641412_at,-2.90E-01,2.07E-04,1.30E-02
1627180_at,2.14E-01,2.07E-04,1.30E-02
1637536_at,1.62E-01,2.09E-04,1.31E-02
1638307_s_at,7.80E-02,2.11E-04,1.32E-02
1625995_a_at,-1.38E-01,2.13E-04,1.33E-02
1625745_at,-1.14E-01,2.16E-04,1.34E-02
1636667_at,7.08E-02,2.19E-04,1.35E-02
1624042_at,-3.11E-01,2.20E-04,1.35E-02
1638481_at,1.71E-01,2.20E-04,1.35E-02
1639013_at,-5.22E-02,2.20E-04,1.35E-02
1625760_at,4.71E-01,2.22E-04,1.36E-02
1637204_at,-1.25E-01,2.24E-04,1.36E-02
1636672_at,-4.94E-01,2.26E-04,1.37E-02
1637569_s_at,-6.27E-01,2.28E-04,1.38E-02
1634089_at,6.07E-02,2.31E-04,1.39E-02
1629176_at,-7.90E-02,2.32E-04,1.39E-02
1632098_at,-5.34E-02,2.36E-04,1.41E-02
1630212_at,2.68E-01,2.36E-04,1.41E-02
1625140_at,1.60E-01,2.40E-04,1.43E-02
1627181_at,7.62E-02,2.42E-04,1.44E-02
1640631_at,1.34E-01,2.45E-04,1.45E-02
1637193_at,-4.29E-02,2.55E-04,1.51E-02
1637131_at,7.74E-02,2.56E-04,1.51E-02
1629955_at,-2.78E-01,2.58E-04,1.51E-02
1626344_at,-6.98E-02,2.58E-04,1.51E-02
1633492_at,-1.35E-01,2.58E-04,1.51E-02
1641707_at,-7.04E-02,2.64E-04,1.54E-02
1623518_s_at,8.85E-02,2.66E-04,1.54E-02
1631175_a_at,-1.05E-01,2.71E-04,1.57E-02
1634928_at,-1.35E-01,2.76E-04,1.59E-02
1637608_at,-5.94E-02,2.81E-04,1.61E-02
1632758_at,7.83E-02,2.91E-04,1.67E-02
1632639_at,1.96E-01,2.93E-04,1.67E-02
1634063_a_at,-1.38E-01,2.96E-04,1.68E-02
1639727_at,-1.10E-01,2.97E-04,1.68E-02
1638448_at,1.53E-01,3.00E-04,1.70E-02
1635741_a_at,-1.64E-01,3.05E-04,1.71E-02
1632239_at,7.84E-02,3.06E-04,1.71E-02
1624567_at,-1.22E-01,3.06E-04,1.71E-02
1633958_at,4.15E-02,3.07E-04,1.72E-02
1626782_at,-6.24E-02,3.13E-04,1.75E-02
1640097_at,1.33E-01,3.17E-04,1.76E-02
1626980_at,9.19E-02,3.19E-04,1.76E-02
1639304_at,7.16E-02,3.19E-04,1.76E-02
1626831_at,-7.26E-02,3.20E-04,1.76E-02
1635769_at,3.10E-01,3.21E-04,1.76E-02
1625035_at,-1.39E-01,3.23E-04,1.77E-02
1637009_at,-1.20E-01,3.29E-04,1.79E-02
1632430_at,3.54E-01,3.30E-04,1.80E-02
1640798_a_at,8.70E-02,3.34E-04,1.80E-02
1623555_at,1.42E-01,3.34E-04,1.80E-02
1631216_a_at,-1.35E-01,3.34E-04,1.80E-02
1628664_at,7.73E-02,3.35E-04,1.80E-02
1623883_at,-9.52E-02,3.35E-04,1.80E-02
1631557_at,6.55E-02,3.41E-04,1.82E-02
1624992_at,7.93E-02,3.42E-04,1.83E-02
1634952_s_at,1.56E-01,3.50E-04,1.86E-02
1627759_at,-1.90E-01,3.63E-04,1.92E-02
1631065_at,-1.17E-01,3.67E-04,1.93E-02
1625598_at,2.20E-01,3.68E-04,1.93E-02
1628177_at,5.66E-01,3.69E-04,1.93E-02
1640768_at,1.40E-01,3.69E-04,1.93E-02
1630352_at,7.01E-02,3.69E-04,1.93E-02
1637538_s_at,-6.64E-02,3.69E-04,1.93E-02
1633042_at,-4.84E-02,3.71E-04,1.93E-02
1624153_at,-4.65E-02,3.71E-04,1.93E-02
1628579_at,-1.82E-01,3.77E-04,1.95E-02
1636646_at,-2.58E-01,3.78E-04,1.95E-02
1637072_at,2.36E-01,3.80E-04,1.96E-02
1628732_at,-2.36E-01,3.83E-04,1.97E-02
1634150_s_at,1.21E-01,3.87E-04,1.98E-02
1626175_at,-7.47E-02,3.89E-04,1.99E-02
1626325_a_at,-5.81E-02,3.91E-04,1.99E-02
1633675_at,-2.05E-01,3.92E-04,1.99E-02
1633059_at,-4.78E-01,3.95E-04,2.00E-02
1626352_at,-9.59E-02,3.98E-04,2.01E-02
1634479_at,9.22E-02,4.01E-04,2.02E-02
1635578_at,1.29E-01,4.02E-04,2.02E-02
1627445_s_at,-2.15E-01,4.02E-04,2.02E-02
1635958_at,7.32E-02,4.17E-04,2.08E-02
1622946_at,2.05E-01,4.19E-04,2.09E-02
1636905_at,-2.88E-01,4.20E-04,2.09E-02
1631480_at,8.09E-02,4.30E-04,2.13E-02
1629883_at,6.21E-02,4.32E-04,2.14E-02
1640360_at,-1.66E-01,4.38E-04,2.16E-02
1625887_at,-1.29E-01,4.38E-04,2.16E-02
1638905_s_at,1.92E-01,4.45E-04,2.19E-02
1636242_at,-1.09E-01,4.47E-04,2.19E-02
1623053_a_at,-5.98E-02,4.47E-04,2.19E-02
1628084_at,-8.06E-01,4.50E-04,2.19E-02
1633386_s_at,2.16E-01,4.57E-04,2.22E-02
1639544_at,-6.05E-02,4.59E-04,2.23E-02
1634614_at,-4.36E-02,4.63E-04,2.24E-02
1638452_at,-1.02E-01,4.69E-04,2.26E-02
1632790_at,-1.78E-01,4.73E-04,2.27E-02
1625436_at,3.75E-01,4.74E-04,2.27E-02
1630981_at,-6.99E-02,4.78E-04,2.29E-02
1625796_at,1.31E-01,4.82E-04,2.30E-02
1624580_at,-1.14E-01,4.83E-04,2.30E-02
1630419_a_at,2.35E-01,4.84E-04,2.30E-02
1636226_at,8.11E-02,4.85E-04,2.30E-02
1634373_a_at,1.78E-01,4.94E-04,2.33E-02
1626442_at,-9.32E-02,5.01E-04,2.36E-02
1638393_at,-1.20E-01,5.02E-04,2.36E-02
