Probe,logFC,p.val,adj.p.val
1632920_at,-2.92E-01,3.70E-07,5.89E-05
1623810_at,4.78E-01,3.93E-07,6.17E-05
1638786_at,-2.32E-01,3.94E-07,6.17E-05
1626165_at,-2.13E-01,4.20E-07,6.52E-05
1633492_at,3.16E-01,4.23E-07,6.52E-05
1637788_at,2.96E-01,4.49E-07,6.87E-05
1627635_at,-1.94E-01,4.59E-07,6.96E-05
1634606_a_at,1.41E-01,4.69E-07,7.05E-05
1639747_at,-1.53E-01,4.90E-07,7.31E-05
1639667_at,4.55E-01,5.22E-07,7.65E-05
1624715_at,-3.53E-01,5.23E-07,7.65E-05
1632087_at,-3.23E-01,5.25E-07,7.65E-05
1633563_at,3.18E-01,5.48E-07,7.93E-05
1638476_s_at,-4.00E-01,5.69E-07,8.17E-05
1633227_s_at,3.25E-01,5.97E-07,8.51E-05
1626578_at,-3.21E-01,6.11E-07,8.64E-05
1622946_at,-4.59E-01,6.24E-07,8.72E-05
1624567_at,2.75E-01,6.25E-07,8.72E-05
1630570_at,3.17E-01,7.06E-07,9.76E-05
1628543_a_at,-1.91E-01,7.43E-07,1.02E-04
1632699_s_at,-3.63E-01,7.49E-07,1.02E-04
1639374_s_at,-4.29E-01,7.78E-07,1.05E-04
1634848_at,2.55E-01,7.90E-07,1.06E-04
1624377_s_at,-4.13E-01,8.29E-07,1.11E-04
1626782_at,1.34E-01,8.60E-07,1.14E-04
1633048_at,-3.83E-01,8.74E-07,1.14E-04
1634569_at,2.13E-01,8.75E-07,1.14E-04
1633716_at,1.49E-01,9.84E-07,1.28E-04
1635996_at,1.87E-01,9.91E-07,1.28E-04
1638736_at,-4.60E-01,9.98E-07,1.28E-04
1639903_at,1.544944959,1.01E-06,1.29E-04
1631571_a_at,1.82E-01,1.03E-06,1.30E-04
1631408_at,3.66E-01,1.06E-06,1.33E-04
1636767_at,6.06E-01,1.07E-06,1.34E-04
1634263_at,3.60E-01,1.08E-06,1.34E-04
1635868_at,-5.74E-01,1.11E-06,1.37E-04
1623883_at,2.25E-01,1.13E-06,1.38E-04
1627024_s_at,2.51E-01,1.25E-06,1.52E-04
1629199_at,-4.72E-01,1.27E-06,1.53E-04
1624100_at,3.70E-01,1.27E-06,1.53E-04
1636688_at,4.46E-01,1.37E-06,1.63E-04
1622977_at,3.35E-01,1.40E-06,1.65E-04
1634413_at,3.70E-01,1.40E-06,1.65E-04
1640269_at,-2.17E-01,1.44E-06,1.68E-04
1638953_a_at,1.21E-01,1.51E-06,1.76E-04
1629969_at,-2.84E-01,1.58E-06,1.83E-04
1636343_at,-7.03E-01,1.61E-06,1.85E-04
1624491_a_at,3.25E-01,1.69E-06,1.93E-04
1624395_at,2.44E-01,1.71E-06,1.94E-04
1635389_s_at,-3.46E-01,1.75E-06,1.98E-04
1624042_at,5.70E-01,1.80E-06,2.01E-04
1641398_s_at,4.47E-01,1.84E-06,2.05E-04
1626930_at,-1.21E-01,1.87E-06,2.07E-04
1632301_at,1.24E-01,1.89E-06,2.08E-04
1627653_at,2.35E-01,1.93E-06,2.11E-04
1627507_at,2.26E-01,2.00E-06,2.18E-04
1625794_at,1.94E-01,2.06E-06,2.24E-04
1625120_at,-2.98E-01,2.10E-06,2.26E-04
1631617_at,4.01E-01,2.15E-06,2.30E-04
1641189_a_at,2.54E-01,2.18E-06,2.31E-04
1641489_at,1.81E-01,2.18E-06,2.31E-04
1622894_at,-4.15E-01,2.20E-06,2.31E-04
1640342_at,5.13E-01,2.21E-06,2.31E-04
1624609_at,-2.51E-01,2.32E-06,2.41E-04
1631745_at,1.01E-01,2.38E-06,2.47E-04
1640233_at,1.26E-01,2.45E-06,2.53E-04
1632335_at,-2.01E-01,2.52E-06,2.58E-04
1639009_at,-3.22E-01,2.53E-06,2.58E-04
1629195_at,1.80E-01,2.59E-06,2.62E-04
1624506_at,-3.12E-01,2.78E-06,2.80E-04
1641134_at,1.29E-01,2.83E-06,2.84E-04
1636743_s_at,2.41E-01,2.86E-06,2.85E-04
1626098_at,-2.57E-01,2.87E-06,2.85E-04
1625036_at,2.76E-01,2.99E-06,2.95E-04
1636857_at,3.27E-01,3.06E-06,3.00E-04
1636728_at,4.40E-01,3.28E-06,3.21E-04
1637536_at,-2.73E-01,3.38E-06,3.28E-04
1625394_at,-1.29E-01,3.48E-06,3.36E-04
1637671_a_at,7.20E-02,3.55E-06,3.42E-04
1639046_at,-1.23E-01,3.63E-06,3.47E-04
1638469_s_at,4.35E-01,3.66E-06,3.48E-04
1640276_a_at,1.23E-01,3.70E-06,3.50E-04
1623849_s_at,-2.66E-01,4.21E-06,3.97E-04
1640107_at,-5.31E-01,4.30E-06,4.04E-04
1627937_at,4.11E-01,4.33E-06,4.04E-04
1635135_at,3.49E-01,4.46E-06,4.15E-04
1632200_s_at,3.23E-01,4.57E-06,4.22E-04
1634229_at,-2.20E-01,4.62E-06,4.25E-04
1640208_s_at,2.20E-01,4.81E-06,4.39E-04
1639994_at,-3.09E-01,4.81E-06,4.39E-04
1634493_at,2.50E-01,4.90E-06,4.45E-04
1637246_a_at,2.40E-01,5.15E-06,4.64E-04
1623532_at,4.72E-01,5.21E-06,4.68E-04
1625042_at,-5.33E-01,5.24E-06,4.68E-04
1623287_at,2.57E-01,5.33E-06,4.72E-04
1627512_at,2.10E-01,5.35E-06,4.72E-04
1633411_s_at,6.42E-01,5.35E-06,4.72E-04
1639983_at,6.08E-01,5.85E-06,5.13E-04
1626463_at,-2.18E-01,6.04E-06,5.28E-04
1636005_at,3.93E-01,6.40E-06,5.56E-04
1625598_at,-4.87E-01,6.64E-06,5.74E-04
1633576_s_at,1.98E-01,6.68E-06,5.76E-04
1637610_at,2.58E-01,6.73E-06,5.76E-04
1634124_at,-2.50E-01,6.75E-06,5.76E-04
1636876_at,-1.75E-01,6.92E-06,5.88E-04
1639278_at,-4.28E-01,7.02E-06,5.92E-04
1627144_at,-5.26E-01,7.03E-06,5.92E-04
1625745_at,1.92E-01,7.60E-06,6.37E-04
1633969_at,3.38E-01,7.92E-06,6.61E-04
1635216_at,2.59E-01,7.95E-06,6.61E-04
1622950_a_at,1.25E-01,8.01E-06,6.63E-04
1627054_at,1.52E-01,8.06E-06,6.64E-04
1624181_at,-1.71E-01,8.60E-06,7.05E-04
1641639_at,3.66E-01,8.64E-06,7.05E-04
1636078_at,-1.61E-01,8.67E-06,7.05E-04
1633362_at,1.68E-01,9.03E-06,7.31E-04
1626894_at,-1.95E-01,9.25E-06,7.46E-04
1627384_at,2.19E-01,9.34E-06,7.50E-04
1628792_at,2.72E-01,9.58E-06,7.66E-04
1628865_at,5.00E-01,9.61E-06,7.66E-04
1636654_s_at,-1.10E-01,9.83E-06,7.74E-04
1632141_at,2.46E-01,9.84E-06,7.74E-04
1631877_a_at,1.67E-01,9.84E-06,7.74E-04
1624584_at,7.11E-01,9.89E-06,7.75E-04
1631525_at,-1.84E-01,1.00E-05,7.81E-04
1630333_at,8.18E-01,1.04E-05,8.07E-04
1630349_at,-1.48E-01,1.06E-05,8.17E-04
1626201_at,-6.12E-01,1.06E-05,8.17E-04
1634796_at,2.29E-01,1.08E-05,8.28E-04
1628579_at,3.57E-01,1.09E-05,8.35E-04
1638654_at,1.55E-01,1.11E-05,8.46E-04
1623874_at,-1.82E-01,1.12E-05,8.53E-04
1623540_at,2.82E-01,1.15E-05,8.63E-04
1624396_at,1.34E-01,1.15E-05,8.63E-04
1638844_s_at,-2.73E-01,1.15E-05,8.63E-04
1624709_at,-1.72E-01,1.16E-05,8.65E-04
1628190_at,-2.40E-01,1.18E-05,8.76E-04
1625975_at,2.05E-01,1.18E-05,8.76E-04
1629269_at,2.42E-01,1.19E-05,8.76E-04
1630955_at,1.65E-01,1.19E-05,8.76E-04
1631077_at,3.24E-01,1.20E-05,8.81E-04
1625819_at,1.82E-01,1.21E-05,8.81E-04
1638448_at,-2.02E-01,1.21E-05,8.81E-04
1626875_at,-1.96E-01,1.22E-05,8.82E-04
1630815_at,2.95E-01,1.24E-05,8.92E-04
1631370_at,-3.28E-01,1.25E-05,8.98E-04
1630282_at,-1.55E-01,1.28E-05,9.15E-04
1630088_at,-4.65E-01,1.28E-05,9.15E-04
1631235_at,-2.23E-01,1.32E-05,9.36E-04
1629854_at,1.43E-01,1.33E-05,9.37E-04
1640315_at,1.73E-01,1.33E-05,9.37E-04
1625140_at,-3.42E-01,1.33E-05,9.37E-04
1626169_at,1.08E-01,1.35E-05,9.41E-04
1624343_at,1.29E-01,1.35E-05,9.42E-04
1633690_at,-1.30E-01,1.36E-05,9.44E-04
1626461_at,-2.14E-01,1.37E-05,9.45E-04
1633611_s_at,-1.74E-01,1.38E-05,9.54E-04
1638265_s_at,9.05E-02,1.43E-05,9.81E-04
1639534_at,2.27E-01,1.46E-05,9.97E-04
1629453_at,2.69E-01,1.49E-05,1.02E-03
1640829_at,3.02E-01,1.53E-05,1.03E-03
1627191_a_at,3.28E-01,1.53E-05,1.03E-03
1637830_s_at,1.69E-01,1.54E-05,1.03E-03
1631098_at,-3.20E-01,1.54E-05,1.03E-03
1640162_at,2.87E-01,1.55E-05,1.04E-03
1626975_at,-1.63E-01,1.57E-05,1.05E-03
1623428_at,2.54E-01,1.58E-05,1.05E-03
1633843_at,2.92E-01,1.58E-05,1.05E-03
1624090_at,2.13E-01,1.61E-05,1.06E-03
1625304_s_at,3.60E-01,1.63E-05,1.07E-03
1638275_at,-3.13E-01,1.63E-05,1.07E-03
1629698_at,-1.99E-01,1.64E-05,1.07E-03
1640974_a_at,2.49E-01,1.66E-05,1.08E-03
1632195_at,1.01E-01,1.67E-05,1.09E-03
1629194_s_at,-2.41E-01,1.68E-05,1.09E-03
AFFX-r2-Dros-GAPDH-3_at,1.70E-01,1.72E-05,1.11E-03
1623497_at,3.09E-01,1.74E-05,1.11E-03
1625125_at,-1.83E-01,1.74E-05,1.11E-03
1628317_at,2.95E-01,1.77E-05,1.13E-03
1638592_at,-1.95E-01,1.80E-05,1.14E-03
1626699_at,6.72E-01,1.81E-05,1.15E-03
1627833_at,-1.87E-01,1.81E-05,1.15E-03
1638810_at,2.25E-01,1.82E-05,1.15E-03
1630948_s_at,3.33E-01,1.87E-05,1.17E-03
1625538_at,7.52E-01,1.94E-05,1.21E-03
1625522_at,2.26E-01,1.96E-05,1.22E-03
1641582_at,2.42E-01,1.98E-05,1.23E-03
1629159_at,-1.78E-01,1.99E-05,1.23E-03
1623053_a_at,1.24E-01,2.02E-05,1.24E-03
1624885_at,-3.75E-01,2.03E-05,1.24E-03
1627855_at,2.84E-01,2.03E-05,1.24E-03
1641370_s_at,-1.85E-01,2.07E-05,1.26E-03
1630654_at,-2.58E-01,2.07E-05,1.26E-03
1624877_at,3.56E-01,2.08E-05,1.26E-03
1624029_at,2.01E-01,2.10E-05,1.27E-03
1634608_at,2.39E-01,2.13E-05,1.29E-03
1637575_at,5.30E-01,2.16E-05,1.30E-03
1628992_at,-2.40E-01,2.17E-05,1.30E-03
1633904_at,1.85E-01,2.18E-05,1.31E-03
1625995_a_at,3.24E-01,2.22E-05,1.32E-03
1629549_s_at,1.81E-01,2.23E-05,1.32E-03
1641595_at,-1.30E-01,2.26E-05,1.33E-03
1639221_at,6.10E-01,2.26E-05,1.33E-03
1623331_at,1.95E-01,2.26E-05,1.33E-03
1633480_at,-2.65E-01,2.38E-05,1.40E-03
1632625_a_at,5.38E-01,2.45E-05,1.43E-03
1626840_a_at,8.65E-02,2.46E-05,1.44E-03
1626208_at,1.21E-01,2.54E-05,1.47E-03
1624596_at,-4.36E-01,2.55E-05,1.47E-03
1637072_at,-4.94E-01,2.55E-05,1.47E-03
1640529_at,-3.66E-01,2.56E-05,1.47E-03
1641493_at,3.41E-01,2.58E-05,1.48E-03
1631649_at,2.80E-01,2.67E-05,1.53E-03
1633543_s_at,-2.51E-01,2.67E-05,1.53E-03
1623012_at,1.06E-01,2.68E-05,1.53E-03
1631759_at,1.22E-01,2.71E-05,1.53E-03
1636119_at,2.31E-01,2.72E-05,1.53E-03
1629631_at,-1.71E-01,2.72E-05,1.53E-03
1626344_at,1.22E-01,2.74E-05,1.54E-03
1628814_s_at,1.29E-01,2.78E-05,1.56E-03
1634750_at,2.70E-01,2.81E-05,1.57E-03
1638856_at,-2.07E-01,2.83E-05,1.57E-03
1623961_at,2.24E-01,2.83E-05,1.57E-03
1625363_at,2.89E-01,2.85E-05,1.58E-03
1623790_at,6.06E-01,2.86E-05,1.58E-03
1623518_s_at,-1.43E-01,2.87E-05,1.58E-03
1633647_at,-1.42E-01,2.87E-05,1.58E-03
1626442_at,2.12E-01,2.92E-05,1.60E-03
1625263_at,1.65E-01,2.92E-05,1.60E-03
1639368_at,-3.39E-01,3.01E-05,1.64E-03
1625462_s_at,1.68E-01,3.02E-05,1.64E-03
1634614_at,8.45E-02,3.05E-05,1.65E-03
1633144_at,1.94E-01,3.06E-05,1.65E-03
1625949_at,1.63E-01,3.19E-05,1.72E-03
1625129_at,-3.83E-01,3.24E-05,1.74E-03
1637404_at,1.44E-01,3.29E-05,1.76E-03
1638803_at,1.61E-01,3.38E-05,1.80E-03
1629620_s_at,1.20E-01,3.40E-05,1.80E-03
1638091_at,-2.36E-01,3.40E-05,1.80E-03
1627986_s_at,7.57E-01,3.46E-05,1.83E-03
1629753_at,4.70E-01,3.52E-05,1.86E-03
1634952_s_at,-3.14E-01,3.54E-05,1.87E-03
1624727_s_at,2.24E-01,3.55E-05,1.87E-03
1640666_at,-5.24E-01,3.63E-05,1.90E-03
1628885_at,2.44E-01,3.66E-05,1.91E-03
1626968_at,1.14E-01,3.78E-05,1.97E-03
1638489_at,2.52E-01,3.81E-05,1.98E-03
1628197_at,-2.27E-01,3.82E-05,1.98E-03
1631058_s_at,-2.39E-01,3.85E-05,1.99E-03
1641307_at,6.21E-01,3.86E-05,1.99E-03
1628732_at,3.26E-01,3.87E-05,1.99E-03
1631783_at,-2.14E-01,3.90E-05,2.00E-03
1640129_at,2.15E-01,3.95E-05,2.01E-03
1641722_at,2.05E-01,3.96E-05,2.01E-03
1633958_at,-1.19E-01,3.96E-05,2.01E-03
1631715_at,4.69E-01,4.10E-05,2.08E-03
1640318_at,-1.77E-01,4.13E-05,2.08E-03
1630237_a_at,1.61E-01,4.14E-05,2.08E-03
1627053_at,1.69E-01,4.15E-05,2.08E-03
1636268_at,2.03E-01,4.31E-05,2.16E-03
1638301_at,4.09E-01,4.32E-05,2.16E-03
1637713_at,1.97E-01,4.36E-05,2.17E-03
1633648_at,-1.46E-01,4.37E-05,2.17E-03
